景区名称	地区	景区等级	经度	纬度	
燕山趣园景区	河南	A	113.312651993732	33.4244431113266	
修武县伊赛牛肉工业旅游	河南	A	113.460683848552	35.1978263415538	
五指山热带雨林风景区(水
满区)	海南	A	109.688185976556	18.9136859758687	
和政县罗家集乡三岔沟景区	甘肃	A	103.171224752392	35.3810840677852	
颐和园	北京	5A	116.278748991018	40.0048690386005	
十三陵	北京	5A	116.231846034917	40.2635439784913	
慕田峪长城	北京	5A	116.571611319481	40.4374420445154	
八达岭长城风景名胜区	北京	5A	116.024066982323	40.3626390503888	
天坛公园	北京	5A	116.417245961663	39.8882429566928	
故宫博物院	北京	5A	116.403413853421	39.9240913672106	
恭王府	北京	5A	116.392599333047	39.9433811690386	
北京市奥林匹克公园	北京	5A	116.399206	39.999245	
天津盘山风景名胜区	天津	5A	117.288913	40.102982	
天津古文化街旅游区（津门故里）	天津	5A	117.199184	39.149532	
西柏坡纪念馆	河北	5A	113.95144	38.345586	
承德避暑山庄及周围寺庙景区	河北	5A	117.945961437856	40.9874700881684	
山海关景区	河北	5A	119.805382967206	39.9762630865975	
清东陵	河北	5A	117.690626361055	40.18098387657	
野三坡景区	河北	5A	115.396634988705	39.6654720902329	
白石山景区	河北	5A	114.709195198883	39.2229306452524	
娲皇宫	河北	5A	113.624307502278	36.6472898514594	
广府古城旅游景区	河北	5A	114.736727184798	36.7073470151545	
安新白洋淀景区	河北	5A	115.996444986197	38.9421941057105	
云冈石窟	山西	5A	113.144291036069	40.1192732375973	
五台山	山西	5A	113.595708149757	38.976197885135	
皇城相府	山西	5A	112.589461710716	35.5199388017143	
绵山	山西	5A	111.999227021147	36.8953169115125	
平遥古城	山西	5A	112.190220336981	37.2095351350864	
代县雁门关	山西	5A	112.889451015435	39.1899747669548	
大槐树寻根祭祖园景区	山西	5A	111.682355052504	36.2770866111089	
壶关太行山八泉峡景区	山西	5A	113.573799197013	35.951201899305	
本溪市本溪水洞景区	辽宁	5A	124.088332062428	41.3074538461386	
金石滩风景名胜区	辽宁	5A	122.000720003026	39.1015881252108	
沈阳世博园	辽宁	5A	123.645989990324	41.8634238696372	
红海滩风景区	辽宁	5A	121.85198297838	40.9078399550631	
伪满皇宫博物院	吉林	5A	125.355281133352	43.911459556196	
净月潭国家森林公园	吉林	5A	125.482869890359	43.7851077424315	
长影世纪城	吉林	5A	125.452836033769	43.7782414538469	
长春世界雕塑公园	吉林	5A	125.340277994047	43.8282621298607	
六鼎山文化旅游区	吉林	5A	128.251206995726	43.3297820589614	
长白山景区	吉林	5A	128.083985987755	42.06689790258	
集安高句丽文物古迹景区	吉林	5A	126.168605055644	41.1735068929854	
东方明珠广播电视塔	上海	5A	121.506378708002	31.2454137544021	
上海野生动物园	上海	5A	121.727995168841	31.0613795705624	
上海科技馆	上海	5A	121.54782293101	31.2243561115576	
江苏省南京市钟山风景名胜区-中山陵园风景区	江苏	5A	118.861452969529	32.0597390400167	
江苏省南京市夫子庙—秦淮风光带景区	江苏	5A	118.795956167338	32.0261958767219	
中央电视台无锡影视基地三国水浒景区	江苏	5A	120.240790030942	31.4872213258128	
江苏省无锡市灵山景区	江苏	5A	120.102894386005	31.4363995444092	
江苏省无锡市鼋头渚风景区	江苏	5A	120.233412966433	31.5297739543158	
江苏省徐州云龙湖风景区	江苏	5A	117.159572667297	34.2443384484232	
江苏省常州市环球恐龙城休闲旅游区	江苏	5A	120.006060106268	31.8281455651943	
江苏省常州市天目湖景区	江苏	5A	119.452210922058	31.3243459095167	
江苏省常州市中国春秋淹城旅游区	江苏	5A	119.930306002612	31.7081469584685	
江苏省苏州园林景区	江苏	5A	120.635511760165	31.3302091818705	
江苏省苏州市周庄古镇景区	江苏	5A	120.858267541882	31.119926380408	
江苏省苏州市同里古镇景区	江苏	5A	120.730108630368	31.1609137259568	
江苏省苏州市金鸡湖景区	江苏	5A	120.707795619806	31.3104299578521	
江苏省苏州市吴中太湖旅游区	江苏	5A	120.45101193554	31.2247988575284	
江苏省苏州市沙家浜·虞山尚湖旅游区	江苏	5A	120.693665004642	31.6521769722876	
江苏省南通市濠河景区	江苏	5A	120.873477740608	32.0203700809649	
江苏省连云港市花果山景区	江苏	5A	119.280982932529	34.6472255615434	
江苏省淮安市周恩来故里旅游景区	江苏	5A	119.156561960072	33.522212104658	
江苏省盐城市大丰中华麋鹿园景区	江苏	5A	120.821874939909	32.9899986413562	
江苏省扬州市瘦西湖风景区	江苏	5A	119.428092137759	32.4147798977317	
江苏省镇江市金山·焦山·北固山旅游景区	江苏	5A	119.422035043367	32.2199310546788	
江苏省镇江市句容茅山景区	江苏	5A	119.321955994297	31.7914979526061	
江苏省姜堰溱湖旅游景区	江苏	5A	120.103638991442	32.6562210773974	
西溪湿地景区	浙江	5A	120.071528252513	30.2728903534101	
普陀山风景旅游区	浙江	5A	122.397607816325	30.0079758945314	
绍兴鲁迅故里·沈园景区	浙江	5A	120.591061700166	29.9989986755541	
神仙居景区	浙江	5A	120.609549905522	28.6945818513134	
溪口—滕头景区	浙江	5A	121.394135058019	29.7074468343865	
江郎山-廿八都旅游区	浙江	5A	118.489753716331	28.2980103124324	
南湖旅游区	浙江	5A	120.765080113024	30.757469484628	
乐清市雁荡山景区	浙江	5A	121.0402964703	28.3796653910601	
天一阁·月湖景区	浙江	5A	121.544974566661	29.8772222042974	
杭州西湖景区	浙江	5A	120.127920009716	30.2289321141359	
横店影视城	浙江	5A	120.323375731167	29.1436331940134	
根宫佛国文化旅游区	浙江	5A	118.399520904155	29.139381990368	
西塘古镇景区	浙江	5A	120.898996893366	30.9504661843905	
桐乡市乌镇景区	浙江	5A	120.498262985026	30.7542018467295	
天台山景区	浙江	5A	121.042039991464	29.1627470209099	
南浔古镇景区	浙江	5A	120.436765977949	30.8814688766671	
千岛湖景区	浙江	5A	119.060104503079	29.5529865936735	
缙云仙都景区	浙江	5A	120.147136993561	28.6962269881709	
肥西三河古镇	安徽	5A	117.251306188687	31.5179274603093	
八里河旅游区	安徽	5A	116.314343807868	32.5677373040912	
天堂寨景区	安徽	5A	115.785283993019	31.1411248647463	
万佛湖景区	安徽	5A	116.783508563855	31.3106028055416	
方特旅游区	安徽	5A	118.382538993672	31.3834104216455	
天柱山景区	安徽	5A	116.466711963045	30.7419138214278	
绩溪龙川景区	安徽	5A	118.67660199728	30.0830122267812	
九华山景区	安徽	5A	117.830511393375	30.4848941468224	
黄山景区	安徽	5A	118.168089393852	30.1303900116253	
皖南古村落	安徽	5A	118.292630812914	29.8467942198559	
古徽州文化旅游区	安徽	5A	118.442534017723	29.869136948864	
厦门鼓浪屿旅游区	福建	5A	118.073467444834	24.4509680645289	
武夷山风景名胜区	福建	5A	117.963041982429	27.6681080045521	
福建土楼（永定）旅游景区	福建	5A	116.981453041825	24.6579010522561	
三明市泰宁风景旅游区	福建	5A	117.10837319	26.8699421462145	
